
Animals|Bats
Animals|Dogs|Guybrush Jr.
Animals|Chicken
Animals|Dogs|Old Blind Pew
Animals|Dogs|Pirahna Poodles
Animals|Dogs|Spiffy
Animals|Dogs|Walt the Dog
Animals|El Pollo Diablo
Animals|Elaine Marleys Pets|Gopher Horde
Animals|Elaine Marleys Pets
Animals|Elaine Marleys Pets|Guybrush Jr.
Animals|Elaine Marleys Pets|Pirahna Poodles
Animals|Elaine Marleys Pets|Quarrelsome Rhinoceros
Animals|Elaine Marleys Pets|Timmy
Animals|Elaine Marleys Pets|Tremendous Yak
Animals|Frogs
Animals|Gopher Horde
Animals|LeChimp
Animals|Legendary Sea Creatures
Animals|Lice
Animals|Man-Eating Snake
Animals|Monkeys
Animals|Monkey
Animals|Monkeys|Floppo the Bouncer Monkey
Animals|Monkeys|Jojo
Animals|Monkeys|Jojo Jr.
Animals|Monkeys|Jojo Sr.
Animals|Monkeys|Monkey
Animals|Monkeys|Monkeys of Montevideo
Animals|Monkeys|Pirates of Danjer Cove
Animals|Monkeys|Pongo
Animals|Monkeys|Three Headed Monkey
Animals|Monkeys|Timmy
Animals|Mr. Polly
Animals|Muenster Monster
Animals|Mr. Willy Gorilla
Animals|Murderous Winged Devil
Animals|Pegbiter
Animals|Quarrelsome Rhinoceros
Animals|Red Herring
Animals|Parrot
Animals|Seagull
Animals|Tremendous Yak
Characters
Characters|Characters By Game
Characters|Characters By Game|CoMI Characters
Characters|Characters By Game|CoMI Characters|Thin Pirate
Characters|Characters By Game|CoMI Characters|VanSalad family
Characters|Characters By Game|CoMI Characters|Voodoo Kids
Characters|Characters By Game|CoMI Characters|Voodoo Lady
Characters|Characters By Game|CoMI Characters|Wharf Rat
Characters|Characters By Game|EfMI Characters
Characters|Characters By Game|EfMI Characters|Allegro Rasputin
Characters|Characters By Game|EfMI Characters|Brittany
Characters|Characters By Game|EfMI Characters|Canard
Characters|Characters By Game|EfMI Characters|Carla
Characters|Characters By Game|EfMI Characters|Carla the Sword Master
Characters|Characters By Game|EfMI Characters|Castaneda
Characters|Characters By Game|EfMI Characters|Charles L. Charles
Characters|Characters By Game|EfMI Characters|Deadeye Dave
Characters|Characters By Game|EfMI Characters|Elaine Marley
Characters|Characters By Game|EfMI Characters|Elaine Marleys Crew
Characters|Characters By Game|EfMI Characters|Guybrush Threepwood
Characters|Characters By Game|EfMI Characters|Estaban
Characters|Characters By Game|EfMI Characters|Hellbeard the Unrepentant
Characters|Characters By Game|EfMI Characters|Horatio Torquemada Marley
Characters|Characters By Game|EfMI Characters|Hugo
Characters|Characters By Game|EfMI Characters|Ignatius Cheese
Characters|Characters By Game|EfMI Characters|Jojo Jr.
Characters|Characters By Game|EfMI Characters|Kristopher Kilometer
Characters|Characters By Game|EfMI Characters|LeChuck
Characters|Characters By Game|EfMI Characters|Lua Bar Chef
Characters|Characters By Game|EfMI Characters|Marco de Pollo
Characters|Characters By Game|EfMI Characters|Meathook
Characters|Characters By Game|EfMI Characters|Miss Rivers
Characters|Characters By Game|EfMI Characters|Mister Santiago
Characters|Characters By Game|EfMI Characters|Mungle
Characters|Characters By Game|EfMI Characters|Murray
Characters|Characters By Game|EfMI Characters|Otis
Characters|Characters By Game|EfMI Characters|Ozzie Mandrill
Characters|Characters By Game|EfMI Characters|Pegnose Pete
Characters|Characters By Game|EfMI Characters|Pongo
Characters|Characters By Game|EfMI Characters|Ricardo Luigi Pierre M’Benga Chang Nehru O’Hara Casaba the Third
Characters|Characters By Game|EfMI Characters|Ron
Characters|Characters By Game|EfMI Characters|Salty the pirate
Characters|Characters By Game|EfMI Characters|Second Bank of Lucre Manager
Characters|Characters By Game|EfMI Characters|Simkins
Characters|Characters By Game|EfMI Characters|Stan S. Stanman
Characters|Characters By Game|EfMI Characters|Timmy
Characters|Characters By Game|EfMI Characters|Tony DiBoulda
Characters|Characters By Game|EfMI Characters|Voodoo Lady
Characters|Characters By Game|EfMI Characters|Yangja
Characters|Characters By Game|MI2 Characters
Characters|Characters By Game|MI2 Characters|Antiques Dealer
Characters|Characters By Game|MI2 Characters|Augustus DeWaat
Characters|Characters By Game|MI2 Characters|Barkeeper
Characters|Characters By Game|MI2 Characters|Bart
Characters|Characters By Game|MI2 Characters|Bernard
Characters|Characters By Game|MI2 Characters|Booty Island Guard
Characters|Characters By Game|MI2 Characters|Bruno
Characters|Characters By Game|MI2 Characters|Buzzsaw Girl
Characters|Characters By Game|MI2 Characters|Chester
Characters|Characters By Game|MI2 Characters|Chuckie
Characters|Characters By Game|MI2 Characters|Dealer
Characters|Characters By Game|MI2 Characters|Dread
Characters|Characters By Game|MI2 Characters|Elaine Marley
Characters|Characters By Game|MI2 Characters|Filbert
Characters|Characters By Game|MI2 Characters|Fin
Characters|Characters By Game|MI2 Characters|Fink
Characters|Characters By Game|MI2 Characters|Frank
Characters|Characters By Game|MI2 Characters|Fred
Characters|Characters By Game|MI2 Characters|Governor Phatt&#039;s Cook
Characters|Characters By Game|MI2 Characters|Greenbeard
Characters|Characters By Game|MI2 Characters|Guybrush Jr.
Characters|Characters By Game|MI2 Characters|Guybrush Threepwood
Characters|Characters By Game|MI2 Characters|Guybrush&#039;s Parents
Characters|Characters By Game|MI2 Characters|Horatio Torquemada Marley
Characters|Characters By Game|MI2 Characters|Innkeeper
Characters|Characters By Game|MI2 Characters|Jojo
Characters|Characters By Game|MI2 Characters|Kate Capsize
Characters|Characters By Game|MI2 Characters|L. Phatt
Characters|Characters By Game|MI2 Characters|LeChuck
Characters|Characters By Game|MI2 Characters|Librarian
Characters|Characters By Game|MI2 Characters|Mad Marty
Characters|Characters By Game|MI2 Characters|Marco Largo LaGrande
Characters|Characters By Game|MI2 Characters|Men of Low Moral Fiber
Characters|Characters By Game|MI2 Characters|Mr. Polly
Characters|Characters By Game|MI2 Characters|Mr. Willy Gorilla
Characters|Characters By Game|MI2 Characters|Muenster Monster
Characters|Characters By Game|MI2 Characters|Parrot Chow
Characters|Characters By Game|MI2 Characters|Party Guests
Characters|Characters By Game|MI2 Characters|Pegbiter
Characters|Characters By Game|MI2 Characters|Phatt Island Guard
Characters|Characters By Game|MI2 Characters|Pierre LePoisson
Characters|Characters By Game|MI2 Characters|Ralphie
Characters|Characters By Game|MI2 Characters|Rapp Scallion
Characters|Characters By Game|MI2 Characters|Reginald Blackbeard
Characters|Characters By Game|MI2 Characters|Rum Rogers Jr.
Characters|Characters By Game|MI2 Characters|Rum Rogers Sr.
Characters|Characters By Game|MI2 Characters|Stan S. Stanman
Characters|Characters By Game|MI2 Characters|The Blowfish
Characters|Characters By Game|MI2 Characters|The Spitmaster
Characters|Characters By Game|MI2 Characters|Voodoo Lady
Characters|Characters By Game|MI2 Characters|Voodoo Priest
Characters|Characters By Game|MI2 Characters|Walt the Dog
Characters|Characters By Game|MI2 Characters|Woody
Characters|Characters By Game|SoMI Characters
Characters|Characters By Game|SoMI Characters|Alfredo Fettucini
Characters|Characters By Game|SoMI Characters|Bill Fettucini
Characters|Characters By Game|SoMI Characters|Bob
Characters|Characters By Game|SoMI Characters|Captain of The Sea Monkey
Characters|Characters By Game|SoMI Characters|Carla
Animals|Big Fish
Characters|Characters By Game|SoMI Characters|Citizen of Mêlée
Characters|Characters By Game|SoMI Characters|Cobb
Characters|Characters By Game|SoMI Characters|Elaine Marley
Characters|Characters By Game|SoMI Characters|Estevan
Characters|Characters By Game|SoMI Characters|Fester Shinetop
Characters|Characters By Game|SoMI Characters|Fettucini Brothers
Characters|Characters By Game|SoMI Characters|Fin
Characters|Characters By Game|SoMI Characters|Frank
Characters|Characters By Game|SoMI Characters|Fred
Characters|Characters By Game|SoMI Characters|Funny Little Man
Characters|Characters By Game|SoMI Characters|George Lucas
Characters|Characters By Game|SoMI Characters|Ghost Pirate Crew
Characters|Characters By Game|SoMI Characters|Gopher Horde
Characters|Characters By Game|SoMI Characters|Guybrush Threepwood
Characters|Characters By Game|SoMI Characters|Head of the Navigator
Characters|Characters By Game|SoMI Characters|Heavily Armed Clown
Characters|Characters By Game|SoMI Characters|Horatio Torquemada Marley
Characters|Characters By Game|SoMI Characters|Jojo Sr.
Characters|Characters By Game|SoMI Characters|LeChuck
Characters|Characters By Game|SoMI Characters|Lemonhead
Characters|Characters By Game|SoMI Characters|Lookout
Characters|Characters By Game|SoMI Characters|Mancomb Seepgood
Characters|Characters By Game|SoMI Characters|Meathook
Characters|Characters By Game|SoMI Characters|Men of Low Moral Fiber
Characters|Characters By Game|SoMI Characters|Murderous Winged Devil
Characters|Characters By Game|SoMI Characters|Nick
Characters|Characters By Game|SoMI Characters|Otis
Characters|Characters By Game|SoMI Characters|Pirahna Poodles
Characters|Characters By Game|SoMI Characters|Pirate Leaders
Characters|Characters By Game|SoMI Characters|Red Skull
Characters|Characters By Game|SoMI Characters|Scumm Bar Chef
Characters|Characters By Game|SoMI Characters|Sharptooth
Characters|Characters By Game|SoMI Characters|Smirk
Characters|Characters By Game|SoMI Characters|Spiffy
Characters|Characters By Game|SoMI Characters|Stan S. Stanman
Characters|Characters By Game|SoMI Characters|Store Keeper
Characters|Characters By Game|SoMI Characters|Tillie
Characters|Characters By Game|SoMI Characters|Tremendous Yak
Characters|Characters By Game|SoMI Characters|Troll
Characters|Characters By Game|SoMI Characters|Voodoo Lady
Characters|Characters By Game|ToMI Characters
Characters|Characters By Game|ToMI Characters|Anemone
Characters|Characters By Game|ToMI Characters|Bill (Swordsman)
Characters|Characters By Game|ToMI Characters|Bosun Krebbs
Characters|Characters By Game|ToMI Characters|Club 41 Doorman
Characters|Characters By Game|ToMI Characters|Coronado De Cava
Characters|Characters By Game|ToMI Characters|Davey J. Nipperkin
Characters|Characters By Game|ToMI Characters|Elaine Marley
Characters|Characters By Game|ToMI Characters|Guybrush Q. Threepwood
Characters|Characters By Game|ToMI Characters|Guybrush Threepwood
Characters|Characters By Game|ToMI Characters|Hemlock McGee
Characters|Characters By Game|ToMI Characters|Killick Hardtack
Characters|Characters By Game|ToMI Characters|Lazy Crewmen
Characters|Characters By Game|ToMI Characters|LeChuck
Characters|Characters By Game|ToMI Characters|Legendary Sea Creatures
Characters|Characters By Game|ToMI Characters|Marquis De Singe
Characters|Characters By Game|ToMI Characters|McGillicutty
Characters|Characters By Game|ToMI Characters|Monkeys of Montevideo
Characters|Characters By Game|ToMI Characters|Morgan LeFlay
Characters|Characters By Game|ToMI Characters|Murkel Trenchfoot
Characters|Characters By Game|ToMI Characters|Murray
Characters|Characters By Game|ToMI Characters|Reginald Van Winslow
Characters|Characters By Game|ToMI Characters|Stan S. Stanman
Characters|Characters By Game|ToMI Characters|The Spoon Isle Trio
Characters|Characters By Game|ToMI Characters|Vaycaylians
Characters|Characters By Game|ToMI Characters|Voodoo Lady
Characters|Characters with a Disability
Characters|Characters with a Disability|Blind Characters
Characters|Characters with a Disability|Blind Characters|Deadeye Dave
Characters|Characters with a Disability|Blind Characters|Lookout
Characters|Characters with a Disability|Blind Characters|Mad Marty
Characters|Characters with a Disability|Blind Characters|Old Blind Pew
Characters|Characters with a Disability|Blind Characters|Wally B. Feed
Characters|Characters with a Disability|Bosun Krebbs
Characters|Characters with a Disability|Characters with a Pegleg
Characters|Characters with a Disability|Characters with a Pegleg|Bob
Characters|Characters with a Disability|Characters with a Pegleg|Effete LaFoot
Characters|Characters with a Disability|Characters with a Pegleg|Frank
Characters|Characters with a Disability|Characters with a Pegleg|Ignatius Cheese
Characters|Characters with a Disability|Characters with a Pegleg|Innkeeper
Characters|Characters with a Disability|Characters with Difficulty Walking
Characters|Characters with a Disability|Characters with Difficulty Walking|Head of the Navigator
Characters|Characters with a Disability|Characters with Difficulty Walking|Hemlock McGee
Characters|Characters with a Disability|Characters with Difficulty Walking|L. Phatt
Characters|Characters with a Disability|Characters with Difficulty Walking|Store Keeper
Characters|Characters with a Disability|Characters with One Good Eye
Characters|Characters with a Disability|Characters with One Good Eye|Edward Van Helgen
Characters|Characters with a Disability|Characters with One Good Eye|Estevan
Characters|Characters with a Disability|Characters with One Good Eye|Fink
Characters|Characters with a Disability|Deaf Characters
Characters|Characters with a Disability|Deaf Characters|Augustus DeWaat
Characters|Characters with a Disability|Deaf Characters|Mad Marty
Characters|Characters with a Disability|Hook Handed Characters
Characters|Characters with a Disability|Hook Handed Characters|Blondebeard
Characters|Characters with a Disability|Hook Handed Characters|Guybrush Threepwood
Characters|Characters with a Disability|Hook Handed Characters|Meathook
Characters|Characters with a Disability|Insane Characters
Characters|Deceased
Characters|Deceased|Baron C. Lambert Chowder-Goodsoup
Characters|Deceased|Bill (Swordsman)
Characters|Deceased|Captain of The Sea Monkey
Characters|Deceased|Charles DeGoulash
Characters|Deceased|Charles L. Charles
Characters|Deceased|Duchess Cream of Goodsoup
Characters|Deceased|Gazpacho Goodsoup
Characters|Deceased|Guybrush&#039;s Parents
Characters|Deceased|M.M. Goodsoup
Characters|Deceased|Marco Largo LaGrande
Characters|Deceased|Marquess Victoria Soise-Goodsoup
Characters|Deceased|McGillicutty
Characters|Deceased|Minnie &quot;Stroni&quot; Goodsoup
Characters|Deceased|Mr. Willy Gorilla
Characters|Deceased|Ozzie Mandrill
Characters|Deceased|Rapp Scallion
Characters|Deceased|Rum Rogers Sr.
Characters|Deceased|The Spoon Isle Trio
Characters|Deceased|Undead
Characters|Deceased|Undead|Army of the Undead
Characters|Deceased|Undead|Bob
Characters|Deceased|Undead|Ghosts
Characters|Deceased|Undead|Ghosts|Allegro Rasputin
Characters|Deceased|Undead|Ghosts|Bob
Characters|Deceased|Undead|Ghosts|Ghost Pirate Crew
Characters|Deceased|Undead|Ghosts|LeChuck
Characters|Deceased|Undead|Ghosts|Minnie &quot;Stroni&quot; Goodsoup
Characters|Deceased|Undead|Ghosts|Morgan LeFlay
Characters|Deceased|Undead|Guybrush Threepwood
Characters|Deceased|Undead|Head of the Navigator
Characters|Deceased|Undead|LeChuck
Characters|Deceased|Undead|Morgan LeFlay
Characters|Deceased|Undead|Murray
Characters|Deceased|Undead|Murray&#039;s Arm
Characters|Deceased|Undead|Rapp Scallion
Characters|Deceased|Undead|Skully
Characters|Deceased|Undead|Thin Pirate
Characters|Deceased|Young Lindy
Characters|Families
Characters|Families|Brothchild family
Characters|Families|Goodsoup Family
Characters|Families|Goodsoup Family|Baron C. Lambert Chowder-Goodsoup
Characters|Families|Goodsoup Family|Baron Salmon Bisque de Goodsoup
Characters|Families|Goodsoup Family|Duchess Cream of Goodsoup
Characters|Families|Goodsoup Family|Gazpacho Goodsoup
Characters|Families|Goodsoup Family|Griswold Goodsoup
Characters|Families|Goodsoup Family|M.M. Goodsoup
Characters|Families|Goodsoup Family|Marquess Victoria Soise-Goodsoup
Characters|Families|Goodsoup Family|Minnie &quot;Stroni&quot; Goodsoup
Characters|Families|Marley Family
Characters|Families|Marley Family|Elaine Marley
Characters|Families|Marley Family|Horatio Torquemada Marley
Animals|Dogs
Characters|Families|Rogers Family|Rum Rogers Jr.
Characters|Families|Rogers Family|Rum Rogers Sr.
Characters|Families|The Clan McMutton
Characters|Families|The Clan McMutton|Fergus McMutton
Characters|Families|The Clan McMutton|Haggis McMutton
Characters|Families|The Clan McMutton|McManus McMutton
Characters|Families|Threepwood Family
Characters|Families|Threepwood Family|Guybrush Threepwood
Characters|Families|Threepwood Family|Elaine Marley
Characters|Families|Threepwood Family|Guybrush&#039;s Parents
Characters|Families|Threepwood Family|Timmy
Characters|Families|VanSalad family
Characters|Females
Characters|Females|Booty Island Guard
Characters|Females|Bosun Krebbs
Characters|Females|Brittany
Characters|Females|Buzzsaw Girl
Characters|Females|Carla
Characters|Females|Carla the Sword Master
Characters|Females|Duchess Cream of Goodsoup
Characters|Females|Elaine Marley
Characters|Females|Fergus McMutton
Characters|Females|Kate Capsize
Characters|Females|Madame Xima
Characters|Females|Librarian
Characters|Females|Marquess Victoria Soise-Goodsoup
Characters|Females|Miss Rivers
Characters|Females|Minnie &quot;Stroni&quot; Goodsoup
Characters|Females|Morgan LeFlay
Characters|Females|Mrs. Falmouth
Characters|Females|Muffy Rackham
Characters|Females|Tillie
Characters|Females|Voodoo Lady
Characters|Females|Willimina
Characters|Females|Yangja
Characters|Gods
Characters|Gods|Food-related Deities
Characters|Gods|Nor Treblig
Characters|Gods|Sherman
Characters|Gods|Volcano god
Characters|Males
Characters|Males|Alfredo Fettucini
Characters|Males|Allegro Rasputin
Characters|Males|Angus McFulcrum
Characters|Males|Antiques Dealer
Characters|Males|Augustus DeWaat
Characters|Males|Barkeeper
Characters|Males|Baron C. Lambert Chowder-Goodsoup
Characters|Males|Baron Salmon Bisque de Goodsoup
Characters|Males|Bart
Characters|Males|Bernard
Characters|Males|Bill (Swordsman)
Characters|Males|Bill Fettucini
Characters|Males|Bob
Characters|Males|Bruno
Characters|Males|Cabaña Boy
Characters|Males|Canard
Characters|Males|Captain of The Sea Monkey
Characters|Males|Castaneda
Characters|Males|Charles DeGoulash
Characters|Males|Charles L. Charles
Characters|Males|Chester
Characters|Males|Chuckie
Characters|Males|Citizen of Mêlée
Characters|Males|Club 41 Doorman
Characters|Males|Cobb
Characters|Males|Coronado De Cava
Characters|Males|Coronado DeCava
Characters|Males|Cruff
Characters|Males|Cutthroat Bill
Characters|Males|Davey J. Nipperkin
Characters|Males|Deadeye Dave
Characters|Males|Dealer
Characters|Males|Dinghy Dog
Characters|Males|Dominique
Characters|Males|Dread
Characters|Males|Edward Van Helgen
Characters|Males|Effete LaFoot
Characters|Males|Estevan
Characters|Males|Estaban
Characters|Males|Fester Shinetop
Characters|Males|Father Pirate
Characters|Males|Fettucini Brothers
Characters|Males|Filbert
Characters|Males|Fin
Characters|Males|Fink
Characters|Males|Frank
Characters|Males|Fred
Characters|Males|Funny Little Man
Characters|Males|Gazpacho Goodsoup
Characters|Males|Greenbeard
Characters|Males|Guy Friday
Characters|Males|Griswold Goodsoup
Characters|Males|Guybrush Q. Threepwood
Characters|Males|Guybrush Jr.
Characters|Males|Guybrush Threepwood
Characters|Males|Head of the Navigator
Characters|Males|Haggis McMutton
Characters|Males|Horatio Torquemada Marley
Characters|Males|Hellbeard the Unrepentant
Characters|Males|Hugo
Characters|Males|Ignatius Skullduggery
Characters|Males|Innkeeper
Characters|Males|Ignatius Cheese
Characters|Males|Killick Hardtack
Characters|Males|Kenny Falmouth
Characters|Males|King André
Characters|Males|Kristopher Kilometer
Characters|Males|L. Phatt
Characters|Males|L. Ron Gilbert
Characters|Males|Largo LaGrande
Characters|Males|LeChuck
Characters|Males|Lazy Crewmen
Characters|Males|Lemonhead
Characters|Males|Lookout
Characters|Males|Mad Marty
Characters|Males|Lua Bar Chef
Characters|Males|Mancomb Seepgood
Characters|Males|Marco de Pollo
Characters|Males|Marquis De Singe
Characters|Males|McGillicutty
Characters|Males|McManus McMutton
Characters|Males|Meathook
Characters|Males|Men of Low Moral Fiber
Characters|Males|Mister Santiago
Characters|Males|Monty Meringue
Characters|Males|Mort
Characters|Males|Mr. Fossey
Characters|Males|Mr. Willy Gorilla
Characters|Males|Mungle
Characters|Males|Murkel Trenchfoot
Characters|Males|Murray
Characters|Males|Nick
Characters|Males|Otis
Characters|Males|Ozzie Mandrill
Characters|Males|Palido Domingo
Characters|Males|Pegnose Pete
Characters|Males|Phatt Island Guard
Characters|Males|Pierre LePoisson
Characters|Males|Pirate Leaders
Characters|Males|Quetzalcoatl
Characters|Males|Ralphie
Characters|Males|Red Skull
Characters|Males|Reginald Blackbeard
Characters|Males|Reginald Van Winslow
Characters|Males|Ricardo Luigi Pierre M’Benga Chang Nehru O’Hara Casaba the Third
Characters|Males|Ron
Characters|Males|Rum Rogers Jr.
Characters|Males|Rum Rogers Sr.
Characters|Males|Salty the pirate
Characters|Males|Scumm Bar Chef
Characters|Males|Second Bank of Lucre Manager
Characters|Males|Sharptooth
Characters|Males|Sherman
Characters|Males|Simkins
Characters|Males|Simon Finkleberth
Characters|Males|Skip Rackham
Characters|Males|Skully
Characters|Males|Smirk
Characters|Males|Stan S. Stanman
Characters|Males|Store Keeper
Characters|Males|Stu Boyle
Characters|Males|The Blowfish
Characters|Males|The Flying Welshman
Characters|Males|The Spitmaster
Characters|Males|The Spoon Isle Trio
Characters|Males|Thin Pirate
Characters|Males|Timmy
Characters|Males|Tony DiBoulda
Characters|Males|Troll
Characters|Males|Voodoo Priest
Characters|Males|Wally B. Feed
Characters|Males|Wharf Rat
Characters|Males|Woody
Characters|Males|Young Lindy
Characters|Mentioned only characters
Characters|Mentioned only characters|Baron C. Lambert Chowder-Goodsoup
Characters|Mentioned only characters|Baron Salmon Bisque de Goodsoup
Characters|Mentioned only characters|Big Jake McJuggernaut
Characters|Families|Rogers Family
Characters|Mentioned only characters|Buzzsaw Girl
Characters|Mentioned only characters|Dominique
Characters|Mentioned only characters|Duchess Cream of Goodsoup
Characters|Mentioned only characters|El Pollo Diablo
Characters|Mentioned only characters|Fergus McMutton
Characters|Mentioned only characters|Gazpacho Goodsoup
Characters|Mentioned only characters|Governor Phatt&#039;s Cook
Characters|Mentioned only characters|Guy Friday
Characters|Mentioned only characters|Guybrush Q. Threepwood
Characters|Mentioned only characters|Ignatius Skullduggery
Characters|Mentioned only characters|L. Ron Gilbert
Characters|Mentioned only characters|M.M. Goodsoup
Characters|Mentioned only characters|Marco Largo LaGrande
Characters|Mentioned only characters|Marquess Victoria Soise-Goodsoup
Characters|Mentioned only characters|McManus McMutton
Characters|Mentioned only characters|Mrs. Brinestoop
Characters|Mentioned only characters|Mrs. Falmouth
Characters|Mentioned only characters|Muffy Rackham
Characters|Mentioned only characters|Nor Treblig
Characters|Mentioned only characters|Quetzalcoatl
Characters|Mentioned only characters|Rampaging Rucksack Newton
Characters|Mentioned only characters|Brothchild family
Characters|Mentioned only characters|Reginald Blackbeard
Characters|Mentioned only characters|Ron
Characters|Mentioned only characters|Simon Finkleberth
Characters|Mentioned only characters|Skip Rackham
Characters|Mentioned only characters|Tillie
Characters|Mentioned only characters|VanSalad family
Characters|Mentioned only characters|Voodoo Kids
Characters|Mentioned only characters|Willimina
Characters|Nationalities
Characters|Nationalities|Australians
Characters|Nationalities|Dinky Island Residents
Characters|Characters By Game|SoMI Characters|Carla the Sword Master
Characters|Nationalities|Frenchmen|Marquis De Singe
Characters|Nationalities|Frenchmen|Pierre LePoisson
Characters|Nationalities|Frenchmen|René Rottingham
Characters|Nationalities|Jamaicans
Characters|Nationalities|Monkey Island Residents
Animals
Characters|Nationalities|Monkey Island Residents|Bob
Characters|Nationalities|Monkey Island Residents|Dinghy Dog
Characters|Nationalities|Monkey Island Residents|Ghost Pirate Crew
Characters|Nationalities|Monkey Island Residents|Head of the Navigator
Characters|Nationalities|Monkey Island Residents|Horatio Torquemada Marley
Characters|Nationalities|Monkey Island Residents|Jojo Jr.
Characters|Nationalities|Monkey Island Residents|Jojo Sr.
Characters|Nationalities|Monkey Island Residents|LeChuck
Characters|Nationalities|Monkey Island Residents|Lemonhead
Characters|Nationalities|Monkey Island Residents|Monty Meringue
Characters|Nationalities|Monkey Island Residents|Red Skull
Characters|Nationalities|Monkey Island Residents|Sharptooth
Characters|Nationalities|Monkey Island Residents|Three Headed Monkey
Characters|Nationalities|Residents of the Tri-Island Area
Characters|Nationalities|Residents of the Tri-Island Area|Blood Island Residents
Characters|Nationalities|Residents of the Tri-Island Area|Blood Island Residents|Baron C. Lambert Chowder-Goodsoup
Characters|Nationalities|Residents of the Tri-Island Area|Blood Island Residents|Baron Salmon Bisque de Goodsoup
Characters|Nationalities|Residents of the Tri-Island Area|Blood Island Residents|Charles DeGoulash
Characters|Nationalities|Residents of the Tri-Island Area|Blood Island Residents|Griswold Goodsoup
